un_code,name_en,lat,lon,comment
051,Armenia,40.069099,45.038189,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
004,Afghanistan,33.93911,67.709953,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
008,Albania,41.153332,20.168331,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
012,Algeria,28.033886,1.659626,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
016,American Samoa,-14.270972,-170.132217,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
020,Andorra,42.546245,1.601554,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
024,Angola,-11.202692,17.873887,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
028,Antigua and Barbuda,17.060816,-61.796428,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
032,Argentina,-38.416097,-63.616672,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
036,Australia,-25.274398,133.775136,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
040,Austria,47.516231,14.550072,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
044,Bahamas,25.03428,-77.39628,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
048,Bahrain,25.930414,50.637772,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
052,Barbados,13.193887,-59.543198,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
058,Belgium-Luxembourg [former],50.2296,5.3438,Latitude and longitude added using an arbitrary point between the two countries
050,Bangladesh,23.684994,90.356331,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
060,Bermuda,32.321384,-64.75737,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
064,Bhutan,27.514162,90.433601,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
068,Bolivia (Plurinational State of),-16.290154,-63.588653,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
072,Botswana,-22.328474,24.684866,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
076,Brazil,-14.235004,-51.92528,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
533,Aruba,12.52111,-69.968338,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
084,Belize,17.189877,-88.49765,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
086,British Indian Ocean Territory [former],-6.3431940000000004,71.876519,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
090,Solomon Islands,-9.64571,160.156194,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
096,Brunei Darussalam,4.535277,114.727669,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
100,Bulgaria,42.733883,25.48583,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
104,Myanmar,21.913965,95.956223,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
108,Burundi,-3.373056,29.918886,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
010,Antarctica,-75.250973,-0.071389,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
074,Bouvet Island,-54.423199,3.413194,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
120,Cameroon,7.369722,12.354722,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
124,Canada,56.130366,-106.346771,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
128,Canton and Enderbury Islands [former],-2.810556,-171.675556,Latitude and longitude added using Canton Island's coordinates
